Sample ID,Gene,Sample Name,NCGC Unique ID,Primary Mechanism of Action
NCGC00250392-01,SLC16A1,AR-C155858,ISIVOJWVBJIOFM,MCT1 inhibitor
NCGC00347067-01,,,UOOBTJHNCAWIEN,microphthalmia-associated transcription factor (MITF) Inhibitor
NCGC00346954-01,CHEK1,TCS 2312,JMEXWOPTERDPHI,Chk1 Inhibitor
NCGC00017248-10,XIAP,Embelin,IRSFLDGTOHBADP,X-Chromosome-Linked Inhibitor of Apoptosis Protein (XIAP) Inhibitors
NCGC00093656-03,TERT,(E)-5-(2-Bromovinyl)-2'-deoxyuridine,ODZBBRURCPAEIQ,Reverse Transcriptase Inhibitor
NCGC00016332-03,,RIBOFLAVIN,AUNGANRZJHBGPY,Vitamin
NCGC00015610-18,JAK1,Leflunomide;HWA-486/RS-34821,VHOGYURTWQBHIL,Jak inhibitor
NCGC00016889-05,,TENOXICAM,MHLVRGMNJBUIRL,non-steroidal antiinflammatory
NCGC00015147-09,SCNN1D,Benzamil,KXDROGADUISDGY,Epithelial Sodium Channels (ENaC) Blockers
NCGC00018153-09,ESR1,DIENESTROL,NFDFQCUYFHCNBW,Estrogen Receptor (ER) Agonist
NCGC00014911-01,JAK2,cucurbitacin I,NISPVUDLMHQFRQ,Jak2 inhibitor
NCGC00181767-01,COMT,Tolcapone,MIQPIUSUKVNLNT,catechol-O-methyltransferase (COMT)
NCGC00346743-01,HDAC1,ITF2357 (Givinostat),YALNUENQHAQXEA,Histone Deacetylase (HDAC) Inhibitor
NCGC00015466-04,,Gabapentin hydrochloride,UGJMXCAKCUNAIE,Calcium Channels (Voltage-Gated) alpha2/delta-1/2 Subunit Ligand
NCGC00250411-01,ALOX5AP,Veliflapon;BAY-X 1004,ZEYYDOLCHFETHQ,5-lipoxygenase-activating (FLAP) inhibitor
NCGC00345798-01,JAK2,BMS-911543,JCINBYQJBYJGDM,Jak2 inhibitor
NCGC00346554-01,TEK,Tie2 kinase inhibitor,SINQIEAULQKUPD,Tie-2 kinase inhibitor
NCGC00015924-13,ADRA1A,OXEDRINE,YRCWQPVGYLYSOX,alpha1-Adrenoceptor Agonists
NCGC00346550-01,CFTR,VX-809,UFSKUSARDNFIRC,CFTR Channel Modulator
NCGC00247878-01,HSP90AB1,NVP-AUY922;AUY-922/VER-52296,NDAZATDQFDPQBD,Heat Shock Protein 90 (hsp90) Inhibitor
NCGC00345084-01,SHH,Robotnikinin,DRDSZZCLAHXSAE,Hedgehog antagonist
NCGC00023193-04,,Triamcinolone acetonide,YNDXUCZADRHECN,Glucocorticoid steroid
NCGC00096077-05,DRD2,OLANZAPINE,KVWDHTXUZHCGIO,Dopamine D2 Antagonist
NCGC00344625-02,HIF1A,,CAOSCCRYLYQBES,Hypoxia-Inducible Factor Prolyl Hydroxylase Inhibitors
NCGC00163492-04,FAS,Cerulenin,GVEZIHKRYBHEFX,Fatty acid synthase inhibitor
NCGC00183878-01,PTGS1,Zaltoprofen,MUXFZBHBYYYLTH,Cyclooxygenase Inhibitor
NCGC00024956-02,EGFR,,LSPANGZZENHZNJ,EGFR (HER1; erbB1) Inhibitor
NCGC00263176-01,KDR,BMS-794833,PDYXPCKITKHFOZ,VEGFR-2 Inhibitor
NCGC00094810-06,VKORC1,WARFARIN,PJVWKTKQMONHTI,Vitamin K Epoxide Reductase (VKER_:_ VKOR) Inhibitor
NCGC00024415-39,TOP2A,Doxorubicin;Adriamycin,AOJJSUZBOXZQNB,DNA Topoisomerase II Inhibitors
NCGC00346938-01,,E5555,QWKAUGRRIXBIPO,Thrombin Inhibitors
NCGC00164624-03,,Adefovir Dipivoxil (Preveon_:_ Hepsera),WOZSCQDILHKSGG,DNA Polymerase Inhibitors
NCGC00263211-01,ADH7,JK 184,ROYXIPOUVGDTAO,Alcohol dehydrogenase 7 inhibitor
NCGC00263125-01,FGF2,SG-00529;Palomid-529,YEAHTLOYHVWAKW,mTORC1/2 inhibitor
NCGC00179511-04,,Racecadotril (Acetorphan),ODUOJXZPIYUATO,Neprilysin (Enkephalinase_:_ Neutral Endopeptidase_:_ NEP) Inhibitors
NCGC00189075-01,MAP2K1,PD-0325901;PD-325901,SUDAHWBOROXANE,MEK inhibitor
NCGC00095709-06,TNF,TANSHINONE IIA,HYXITZLLTYIPOF,TNF-alpha Production Inhibitors
NCGC00346686-01,MET,ARQ 197 (Tivantinib),UCEQXRCJXIVODC,HGFR (MET; c-Met) Inhibitor
NCGC00346956-01,ABL1,HMSL10015,CVHWGWOPQUQFLD,Bcr-Abl inhibitor
NCGC00167403-03,RASAL1,Pluripotin,NBZFRTJWEIHFPF,Dual RASGAP/Erk inhibitor
NCGC00093356-08,,Cytarabine,UHDGCWIWMRVCDJ,DNA Polymerase Inhibitors
NCGC00167496-02,,Methylene Blue Hydrate,RBTBFTRPCNLSDE,antimalarial agents
NCGC00263113-01,,GYKI-53655;LY-300168,SMGACXZFVXKEAX,AMPA receptor antagonist
NCGC00186030-03,PIK3CG,AS-605240,SQWZFLMPDUSYGV,PI3K gamma Inhibitor
NCGC00188382-04,ITK,NCGC00188382-01,MUAICZWSFWUFNA,ITK inhibitor
NCGC00016438-05,,Procarbazine hydrochloride (Matulane),CPTBDICYNRMXFX,DNA Alkylating Agent
NCGC00024995-10,TUBB,PACLITAXEL,RCINICONZNJXQF,Tubulin depolymerization inhibitor
NCGC00249684-01,MAPK14,VX-702;KVK-702,FYSRKRZDBHOFAY,p38 MAPK Inhibitor
NCGC00263167-02,CDK2,SNS-032 (BMS-387032),OUSFTKFNBAZUKL,CDK2_:_7_:_9 Inhibitor
NCGC00347904-01,P2RX7,AZ 11645373,VQEHBLGYANQWEA,P2X7 Receptor Antagonist
NCGC00025176-01,GABRA1,Etomidate,NPUKDXXFDDZOKR,GABAA Receptor Modulator
NCGC00346621-01,AKT1,CCT128930,RZIDZIGAXXNODG,PKB/Akt Inhibitor
NCGC00345024-01,GSK3B,,INJUVNWOFHYUIN,GSK-3 inhibitor
NCGC00242249-02,BRAF,SB590885,MLSAQOINCGAULQ,Raf kinase B Inhibitor
NCGC00187983-01,ROCK1,,DOBKQCZBPPCLEG,ROCK Inhibitor
NCGC00263967-03,PTP4A1,Alendronate (Fosamax),OGSPWJRAVKPPFI,Protein Tyrosine Phosphatase (PTP) Inhibitors
NCGC00241102-02,PRKCA,PKC 412,BMGQWWVMWDBQGC,PKC/flt3 inhibitor
NCGC00016623-06,,Moroxydine,KJHOZAZQWVKILO,antiinfluenza drug
NCGC00167490-02,,Lumefantrine,DYLGFOYVTXJFJP,antimalarial agents
NCGC00345813-01,,Icaritin,TUUXBSASAQJECY,flavone
NCGC00263121-01,HAT1,MG-149,WBHQYBZRTAEHRR,Histone acetyltransferase inhibitor
NCGC00161825-02,ABCA1,GSK-3965;GW-3965?,NAXSRXHZFIBFMI,ABCA1 Expression Enhancer
NCGC00016258-07,CDC25,MENADIONE,MJVAVZPDRWSRRC,Cell Division Cycle CDC25 Phosphatase Inhibitor
NCGC00163553-02,,Evodiamine (Isoevodiamine),TXDUTHBFYKGSAH,Alkaloid
NCGC00246971-03,,Polydatin(Piceid),HSTZMXCBWJGKHG,ICAM1 Expression Inhibitors
,ICAM1,,,VCAM1 Expression Inhibitors
NCGC00178913-04,HSP90AB1,Celastrol,KQJSQWZMSAGSHN,Heat Shock Protein 90 (hsp90) Inhibitor
NCGC00346711-01,AR,Galeterone (TOK-001),PAFKTGFSEFKSQG,Selective Androgen Receptor Modulators (SARM)?
NCGC00346506-01,BACE1,LY2886721,NIDRNVHMMDAAIK,beta-Secretase 1/2 (BACE1/2) Inhibitors
NCGC00345539-02,HDAC1,LAQ824 (NVP-LAQ824_:_ Dacinostat),BWDQBBCUWLSASG,HDAC Inhibitor
NCGC00025357-01,,Nicorandil,LBHIOVVIQHSOQN,K(ATP) Channel Activators
NCGC00344512-01,,Cyprodime,INUCRGMCKDQKNA,Opioid receptor antagonist
NCGC00346600-01,PRDX1,Dioscin (Collettiside III),VNONINPVFQTJOC,peroxiredoxins (PRDX) 1/6
NCGC00263193-01,CSF1R,KI-20227,SHPFDGWALWEPGS,CSF1R (c-FMS) Inhibitor
NCGC00025323-01,LTA4H,Ubenimex;NK-421,VGGGPCQERPFHOB,Leukotriene A4 Hydrolase Inhibitor
NCGC00263107-01,PAR2,GB 83,ZXMXAOYWSLZLQM,PAR2 Antagonist
NCGC00263083-01,CETP,Dalcetrapib,AMHOWMHYRSJEFV,Cholesteryl Ester Transfer Protein (CETP) Inhibitor
NCGC00163474-05,SMO,Cyclopamine,QASFUMOKHFSJGL,Smo Receptor Antagonist
NCGC00164622-04,CYP51A1,Voriconazole,BCEHBSKCWLPMDN,Lanosterol 14alpha-demethylase Inhibitors
NCGC00185741-01,PTGS2,Nepafenac,QEFAQIPZVLVERP,Cyclooxygenase-2 Inhibitor
NCGC00015004-11,HTR2A,AMOXAPINE,QWGDMFLQWFTERH,5-HT2A Antagonists?
NCGC00241113-01,FLT1,,NHFDRBXTEDBWCZ,VEGFR-2 Inhibitor
NCGC00024976-04,ADORA2,CGS 21680 HCl,PAOANWZGLPPROA,Adenosine A2 Antagonist
NCGC00250375-02,IGFR1,Linsitinib;OSI-906/ASP-7487,PKCDDUHJAFVJJB,IGF-1R Inhibitors
NCGC00345830-01,SRC,PD173955-Analogue 1,RBURTLAMOSHNGX,cSRC inhibitor
NCGC00016101-09,ADRA2A,XYLOMETAZOLINE HYDROCHLORIDE,HUCJFAOMUPXHDK,alpha2A/B/C-Adrenoceptor Agonists
NCGC00346498-01,,Danoprevir,SNMGQXHJQOQNLC,HCV Protease Inhibitor
NCGC00167519-04,PTGDR2,Ramatroban,YITXQYNJJXYNAS,prostaglandin D2 CRTH2 inhibitor
NCGC00346957-01,EGFR,HMSL10016,SZYMZPYKPCRFDE,EGFR (HER1; erbB1) Inhibitor
NCGC00263156-02,FLT1,BIBF1120 (Vargatef),XZXHXSATPCNXJR,VEGFR-1/2/3 Inhibitor
NCGC00346572-01,CYP2C9,Avasimibe (CI-1011),TTWBTKWXGCWCDH,Cyp2C9 Inhibitor
NCGC00025109-01,BRAF,ZM 336372,PYEFPDQFAZNXLI,Raf Kinase Inhibitors
NCGC00346462-01,,PSI-7977,TTZHDVOVKQGIBA,RNA-Directed RNA Polymerase Inhibitor
NCGC00345843-01,KIT,AMG-25  ,IGFSMGCBFTXTJK,KIT inhibitor
NCGC00025029-05,MAP2K1,U0126-EtOH,DVEXZJFMOKTQEZ,Mek 1/2 inhibitor
NCGC00167491-02,TNF,Lenalidomide;CC-5013;ENMD-0997;Revlimid,GOTYRUGSSMKFNF,TNF-alpha Production Inhibitor
NCGC00093976-06,TOP2A,,XDXDZDZNSLXDNA,DNA Topoisomerase II Inhibitors
NCGC00346890-01,TOP2A,Banoxantrone dihydrochloride,YZBAXVICWUUHGG,DNA Topoisomerase II Inhibitors
NCGC00241111-02,MAPK14,VX-745,VEPKQEUBKLEPRA,p38 MAPK Inhibitor
NCGC00250408-01,PIK3CA,GSK 2126458;2126458/GSK-458,PDQIXVPYENBUGM,PI3Kalpha/beta/delta/gamma Inhibitor
NCGC00250405-01,MTOR,AZD-8055,KVLFRAWTRWDEDF,mTORC1/2 Inhibitor
NCGC00250380-01,BRAF,AZ-628,ZGBGPEDJXCYQPH,Raf kinase B/C Inhibitor
NCGC00159508-05,,Rose Bengal disodium,VDNLFJGJEQUWRB,Free radical formation
NCGC00015442-16,,FLUOROURACIL,GHASVSINZRGABV,Pyrimidine Antagonists
NCGC00023212-07,TERT,Stavudine,XNKLLVCARDGLGL,Reverse Transcriptase Inhibitor
NCGC00024728-01,INPPL1,L-690_:_330,JKOCAAWWDVHWKB,inositol monophophatase inhibitor
NCGC00092276-06,ROCK1,Y-27632,IYOZTVGMEWJPKR,ROCK 1_:_ ROCK 2 Inhibitor
NCGC00183036-02,,Cephradine (Velosef),RDLPVSKMFDYCOR,Cephalosporin antibiotic
NCGC00164615-03,,Prulifloxacin,PWNMXPDKBYZCOO,Antibacterial
NCGC00346549-01,AKT1,AT7867,LZMOSYUFVYJEPY,Akt1/2/3 Inhibitor
NCGC00016364-03,HRH1,CHLORPHENIRAMINE (S) MALEATE,SOYKEARSMXGVTM,Histamine H1 Receptor Antagonists
NCGC00346553-01,CDK7,BS-181 HCl,DNYBIOICMDTDAP,CDK7 Inhibitor
NCGC00346524-01,,Nanchangmycin,XMAIRYYXDCNFKP,Polyether Antibiotic
NCGC00095164-05,,PROTIONAMIDE,VRDIULHPQTYCLN,tuberculosis treatment
NCGC00092361-06,,Prostaglandin E2,XEYBRNLFEZDVAW,prostaglandin
NCGC00161602-05,MMP1,DOXYCYCLINE HYDROCHLORIDE,JBIWCJUYHHGXTC,Matrix Metalloproteinase Inhibitors
NCGC00016777-07,,PROBUCOL,FYPMFJGVHOHGLL,ABCA Modulator?
NCGC00016978-05,,Repaglinide,FAEKWTJYAYMJKF,Insulin Secretagogues
NCGC00093985-10,CA7,METOLAZONE,PFIJIICFSMRWEO,Carbonic Anhydrase Type VII Inhibitor
NCGC00091104-05,,ASPARTAME,IAOZJIPTCAWIRG,synthetic sugar substitute
NCGC00346822-01,SPHK1,Phenoxodiol,ZZUBHVMHNVYXRR,Sphingosine Kinase 1 (SphK1) Inhibitors
NCGC00167487-01,AR,Bicalutamide,CMPOAZJLBGOPQD,Androgen Receptor Antagonist
NCGC00164550-01,HRH2,Lafutidine,KMZQAVXSMUKBPD,Histamine H2 Receptor Antagonists
NCGC00025341-01,,Isradipine,HMJIYCCIJYRONP,Calcium Channel Blocker
NCGC00263210-01,SMO,SANT-2,VQOJFGFKIVFMDH,Smoothened (Smo) Receptor Antagonist
NCGC00347279-01,TNK2,AIM-100,XNFHHOXCDUAYSR,ACK1/TNK2 Inhibitor
NCGC00017376-10,,Tetrandrine (Fanchinine),WVTKBKWTSCPRNU,Calcium Channel Blocker
NCGC00247877-01,HSP90AB1,CNF-2024;BIIB-021,QULDDKSCVCJTPV,Heat Shock Protein 90 (hsp90) Inhibitor
NCGC00347943-01,,,AVZCPICCWKMZDT,H3K27 Histone Demethylases UTX and JMJD3 Inhibitor
NCGC00015332-04,,L-cis-DILTIAZEM,HSUGRBWQSSZJOP,L-type Ca2+ channel blocker
NCGC00091057-06,,Silibinin (Silybin),SEBFKMXJBCUCAI,P-Glycoprotein (MDR-1) Inhibitor
NCGC00091253-07,PTGS2,ASARYLALDEHYDE,IAJBQAYHSQIQRE,Cyclooxygenase-2 Inhibitor
NCGC00346953-01,MAPK8,JNK Inhibitor V,RCYPVQCPYKNSTG,JNK Inhibitor
NCGC00181111-01,RARB,Tamibarotene,MUTNCGKQJGXKEM,Retinoid RAR Agonists?
NCGC00161630-02,HSP90AB1,Novobiocin sodium (Albamycin),YJQPYGGHQPGBLI,Heat Shock Protein 90 (hsp90) Inhibitor
NCGC00344588-01,BRD4,I-BET151 (GSK1210151A) ,VUVUVNZRUGEAHB,Bromodomain-Containing Protein 4 (Brd4_:_ HUNK1) Inhibitor
NCGC00164576-03,,Lopinavir;ABT-738,KJHKTHWMRKYKJE,HIV Protease Inhibitors
NCGC00025091-04,PLCG1,U-73122??,LUFAORPFSVMJIW,Phospholipase C Inhibitor
NCGC00345085-01,,(-)-Indolactam V,LUZOFMGZMUZSSK,lineage-specific differentiation enhancer
NCGC00016868-11,PTGS1,ACEMETACIN,FSQKKOOTNAMONP,Cyclooxygenase-1/2/3 Inhibitor
NCGC00024999-02,ADRB2,Procaterol,FKNXQNWAXFXVNW,beta2-Adrenoceptor Agonists
NCGC00167524-03,,Amorolfine Hydrochloride,MQHLMHIZUIDKOO,Antifungal Agent
NCGC00013724-01,,Scopolamine methylbromide,LZCOQTDXKCNBEE,Muscarinic Antagonists
NCGC00021925-04,,Prednisolone acetate (Omnipred),LRJOMUJRLNCICJ,Glucocorticoid steroid
NCGC00346837-01,MGLL,JZL-195,QNYRAEKLMNDRFY,Monoacylglycerol lipase (MAGL) inhibitor
NCGC00263521-02,,Deflazacort (Calcort),FBHSPRKOSMHSIF,Corticosteroid
NCGC00346527-01,HIF1A,FG-4592,YOZBGTLTNGAVFU,Hypoxia-Inducible Factor Prolyl Hydroxylase Inhibitors
NCGC00164601-03,,Liranaftate,VPHPQNGOVQYUMG,Fungal Squalene Monooxygenase Inhibitor
NCGC00183128-01,,Glycyrrhizin,LPLVUJXQOOQHMX,Thrombin Inhibitors
NCGC00015049-18,CYP2C9,APIGENIN,KZNIFHPLKGYRTM,Cyp2C9 Inhibitor
NCGC00263097-01,FLT1,Cediranib,XXJWYDDUDKYVKI,VEGFR-1/2/3 inhibitor
NCGC00165863-02,,PD-173074;PD-0173074??,DXCUKNQANPLTEJ,FGFR 1/3 inhibitor
NCGC00263147-01,AKT1,A-674563,BPNUQXPIQBZCMR,Akt1/PKA Inhibitor
NCGC00263181-01,AKT1,GSK-690693,KGPGFQWBCSZGEL,Akt1/2/3 Inhibitor
NCGC00346532-01,,VX-222,WPMJNLCLKAKMLA,RNA-Directed RNA Polymerase Inhibitor
NCGC00161923-04,IGFR1,Picropodophyllotoxin,YJGVMLPVUAXIQN,IGF-1R Inhibitors
NCGC00163451-03,PRKCA,Go 6976,VWVYILCFSYNJHF,PKC inhibitor
NCGC00167831-01,TOP1,7-Ethyl-10-hydroxycamptothecine,FJHBVJOVLFPMQE,DNA Topoisomerase I Inhibitors
NCGC00345821-01,FLT1,AG13958,LLMBCXVXEQNNJB,VEGFR-2 (FLK-1/KDR) Inhibitors
NCGC00346728-01,,Bacitracin zinc,MNJKVJAYSVAQLU,Peptide Antibiotic
NCGC00159418-02,,Tegafur,WFWLQNSHRPWKFK,Pyrimidine Antagonists
NCGC00345851-01,PIK3CA,GNE 477,JZMWLEPQSLXFKZ,PI3K Inhibitor
NCGC00346458-01,BRAF,MLN-2480,VWMJHAFYPMOMGF,Raf Kinase Inhibitors
NCGC00263092-01,TNF,Apratastat,BZHWKODEVHFEOJ,TNF-alpha-Converting Enzyme Inhibitor
NCGC00181152-01,,Nedaplatin,GRHLMSBCOPRFNA,DNA Alkylating Agent
NCGC00167532-01,,Balofloxacin,MGQLHRYJBWGORO,Antibacterial
NCGC00263209-02,CDC42,,QJTFMKKRRRGSLH,Cdc42 GTPase inhibitor
NCGC00016305-10,,Sulfadiazine,JNSIGQZDHNFJIB,Antibiotic
NCGC00346516-01,,Cefoselis sulfate,ZINFAXPQMLDEEJ,Antibiotic
NCGC00345789-01,BCL2,ABT-199,CWBPQMKQMRMOFK,Bcl-2 Inhibitor
NCGC00163415-03,NFKB1,PARTHENOLIDE,KTEXNACQROZXEV,NF-kappaB Activation Modulator
NCGC00015233-04,CAMKK2,Calmidazolium chloride,CTKNMSVWMRRCPW,Calmodulin-Dependent Protein Kinase II Inhibitors
NCGC00015100-14,,ALTRETAMINE,UUVWYPNAQBNQJQ,Antineoplastic Agent
NCGC00174736-02,,Uridine triacetate,AUFUWRKPQLGTGF,Pyrimidine Antagonists
NCGC00246968-02,AGT,Olmesartan,VTRAEEWXHOVJFV,Angiotensin AT1 Antagonist
NCGC00253760-02,,Albendazole Oxide (Ricobendazole),VXTGHWHFYNYFFV,antiparasitic agent
NCGC00167535-01,TERT,Tenofovir,SGOIRFVFHAKUTI,Reverse Transcriptase Inhibitor
NCGC00242596-01,DHFR,Pralatrexate,OGSBUKJUDHAQEA,Dihydrofolate Reductase (DHFR) Inhibitors
NCGC00181013-01,HRH1,Mizolastine,PVLJETXTTWAYEW,Histamine H1 Receptor Antagonists
NCGC00345782-01,IKBKB,CHS-828,BOIPLTNGIAPDBY,IKK Inhibitor
NCGC00253562-02,BCL2L1,ABT-737,UQAKVLLFWLYJRC,Bcl-xL inhibitor
NCGC00263150-01,AR,Andarine,YVXVTLGIDOACBJ,Selective Androgen Receptor Modulators (SARM)?
NCGC00346675-01,XIAP,AT-406,LSXUTRRVVSPWDZ,cIAP1/2 and XIAP inhibitor
NCGC00263564-02,,Levosimendan,WHXMKTBCFHIYNQ,K(ATP) Channel Activators
NCGC00346602-01,,Lappaconite Hydrobromide,NWBWCXBPKTTZNQ,Antiinflammatory alkaloid
NCGC00181771-01,,Ibutilide fumarate,LJJSIWUWLRVCBP,K(ATP) Channel Blockers
NCGC00346722-01,GRM5,ADX-47273,VXQCCZHCFBHTTD,mgluR5 Antagonists
NCGC00015882-09,GRM1,Riluzole;PK-26124/RP-54274/Rilute,FTALBRSUTCGOEG,Glutamate Release Inhibitor
NCGC00247029-02,,2-Deoxyglucose,PMMURAAUARKVCB,sugar
NCGC00346668-01,,Pramiracetam,ZULJGOSFKWFVRX,neuroprotective drug
NCGC00347953-01,,,HWJRIFZDXJKJJN,Oct4 Activator
NCGC00167328-02,CAPN1,E-64-d,SRVFFFJZQVENJC,Calpain Inhibitor
NCGC00346696-01,SMO,PF-5274857,BBVNTTZIOTWDSV,Smoothened (Smo) receptor agonist
NCGC00022848-06,PTGS2,Hydrocortisone,JYGXADMDTFJGBT,immunosuppressant
NCGC00274062-01,,LY335979,IHOVFYSQUDPMCN,P-Glycoprotein (MDR-1) Inhibitor
NCGC00263108-01,PAR1,Vorapaxar;MK-5348/SCH-530348,ZBGXUVOIWDMMJE,PAR1 Antagonist
NCGC00167526-03,,Camostat mesylate,XASIMHXSUQUHLV,Serine Protease Inhibitor
NCGC00015420-09,,Emodin,RHMXXJGYXNZAPX,Casein Kinase II (CK2) Inhibitor
NCGC00345461-02,JAK2,LY2784544,SQSZANZGUXWJEA,Jak2 inhibitor
NCGC00274063-01,PDE3A,Pimobendan(Vetmedin),GLBJJMFZWDBELO,Phosphodiesterase III (PDE3) Inhibitor
NCGC00345022-02,,IDE 2,CVYPYYPTFNVREL,lineage-specific differentiation enhancer
NCGC00164572-01,CNR1,Rimonabant,JZCPYUJPEARBJL,cannabinoid CB1 antagonist
NCGC00345083-01,,Stauprimide,MQCCJEYZKWZQHU,lineage-specific differentiation enhancer
NCGC00345808-01,STAT3,BP-1-102,ZDFQPZFZDJMCEO,STAT-3 Inhibitor
NCGC00345853-01,CSF1R,JNJ-28312141,GUBJNPWVIUFSTR,CSF1R (c-FMS) Inhibitor
NCGC00345850-01,MAPK8,AS-602801  (Bentamapimod),LRRWTQBREKZHNX,JNK Inhibitor
NCGC00345828-01,JAK1,Merck -5 ,VNDWQCSOSCCWIP,Jak inhibitor
NCGC00242490-02,SRC,PD-166285,IFPPYSWJNWHOLQ,cSRC inhibitor
NCGC00164380-02,CYP19A1,4-Hydroxyandrostenedione,ZMEULISFKSVRLQ,Aromatase Inhibitor
NCGC00016610-08,,TOLNAFTATE,FUSNMLFNXJSCDI,Fungal Squalene Monooxygenase Inhibitor
NCGC00181296-01,TBXA2R,(+-)-7-(3_:_5_:_6-trimethyl-1_:_4-benzoquinon-2-yl)-7-phenylheptanoic acid,ZBVKEHDGYSLCCC,Prostanoid TP Agonist
NCGC00185736-01,CYP51A1,Posaconazole,RAGOYPUPXAKGKH,Lanosterol 14alpha-demethylase Inhibitors
NCGC00346720-01,,Entecavir hydrate,QDGZDCVAUDNJFG,DNA Polymerase Inhibitors
NCGC00018158-08,ADRA1A,DOXAZOSIN MESYLATE,RUZYUOTYCVRMRZ,alpha1-Adrenoceptor Antagonists
NCGC00015471-06,,Ganciclovir,IRSCQMHQWWYFCW,DNA Polymerase Inhibitors
NCGC00346496-01,EGFR,WZ3146,APHGZZPEOCCYNO,EGFR (HER1; erbB1) Inhibitor
NCGC00241108-03,FLT1,Axitinib;AG-013736;AG-13736;Inlyta,RITAVMQDGBJQJZ,VEGFR-1/2/3 Inhibitor
NCGC00346565-01,,Elvitegravir (GS-9137),JUZYLCPPVHEVSV,HIV Integrase Inhibitors
NCGC00346713-01,,AZD4547,VRQMAABPASPXMW,FGFR 3 Inhibitor
NCGC00162073-05,AKT1,,YUIABEHRMZWVGY,PKB/Akt Inhibitor
NCGC00346965-01,FLT4,HMSL10087,VIJIVCXRKDRGGA,FLT4
NCGC00092318-02,RAC1,NSC 23766,DEFBCZWQLILOJF,Rac1-GEF inhibitor
NCGC00167518-03,MTOR,Temsirolimus (Torisel),CBPNZQVSJQDFBE,mTOR inhibitor
NCGC00263212-01,MDM4,SJ-172550,RKKFQJXGAQWHBZ,MDM4 (MDMX) Inhibitor
NCGC00163567-03,NFKB1,,FVYXIJYOAGAUQK,NF-kappaB Activation Modulator
NCGC00163700-04,TUBB,VINCRISTINE SULFATE,OGWKCGZFUXNPDA,Tubulin polymerization inhibitor
NCGC00346648-01,AURKB,GSK1070916,QTBWCSQGBMPECM,Aurora-B/C Inhibitor
NCGC00346517-01,,Daptomycin,DOAKLVKFURWEDJ,Lipopeptide Antibiotic
NCGC00345823-01,AKT1,Akt-I-1_:_2                 (Akt-I-1_:_2),CBJJSCYIXJYEAW,AKT1/2 Inhibitor
NCGC00188346-01,MTOR,PP242,MFAQYJIYDMLAIM,mTOR Inhibitor
NCGC00346950-01,CDK1,NU6102,IJMJHMZRTMZWLE,CDK 1 & 2 inhibitor
NCGC00345833-01,ROCK2,SR3677,OQWZIAVXCYIZNN,ROCK II Inhibitor
NCGC00181336-03,PNP,2-Fluoroadenosine,HBUBKKRHXORPQB,Purine-Nucleoside Phosphorylase Inhibitors
NCGC00015365-18,ESR1,DAIDZEIN,ZQSIJRDFPHDXIC,Estrogen Receptor Modulator
NCGC00263133-01,PTK2,PF-573228,DJLOYAWVGAKXJV,Focal Adhesion Kinase (FAK) Inhibitor
NCGC00025234-01,,Alprostadil,GMVPRGQOIOIIMI,prostaglandin
NCGC00250393-01,SSTR4,CAP-232,AMCKRLCICPRLSG,Somatostatin srif2B (sst4) Agonist
NCGC00092329-01,GRIN2A,Eliprodil;SL-82.0715,GGUSQTSTQSHJAH,NMDA Antagonist
NCGC00015067-13,,ASPIRIN,BSYNRYMUTXBXSQ,non-steroidal antiinflammatory
NCGC00016710-04,HRH1,CLEMASTINE,YNNUSGIPVFPVBX,Histamine H1 Receptor Antagonists
NCGC00017394-08,NKAIN1,OUABAIN HYDRATE,LPMXVESGRSUGHW,Na+/K+-ATPase Inhibitors
NCGC00347939-01,BCL2,,KOCVKGYKBLJEPK,BAX activator
NCGC00015772-13,,OFLOXACIN,GSDSWSVVBLHKDQ,Antibiotic
NCGC00165909-03,,TRAM-34,KBFUQFVFYYBHBT,Intermediate Conductance Channel Blockers
NCGC00344507-02,CASR,Calhex 231,YTFUQWWKTIWYEY,Calcium-Sensing Receptor (CaSR) Agonists
NCGC00165816-02,LPAR1,Ki16425,LLIFMNUXGDHTRO,Lysophospholipid edg2 (LPA1)/edg7 (LPA3) Receptor Antagonists
NCGC00247866-04,BLM,NCGC00247866-02,PNYZVACPJDKKEE,BLM inhibitor
NCGC00017344-06,SIRT1,Fisetin (Fustel),XHEFDIBZLJXQHF,Histone Deacetylase/SIRT1 Activator
NCGC00164447-01,PPARA,Ciprofibrate,KPSRODZRAIWAKH,PPARalpha Agonist
NCGC00015462-12,,GLIPIZIDE,MKGWVFBAAZYWCF,K(ATP) Channel Blockers
NCGC00162453-10,HDAC1,Trichostatin A (TSA),RTKIYFITIVXBLE,HDAC1 Inhibitor
NCGC00189220-05,EHMT2,UNC-0638,QOECJCJVIMVJGX,Histone-lysine N-methyltransferase EHMT2 Inhibitor
NCGC00015897-06,SCN9A,RANOLAZINE,XKLMZUWKNUAPSZ,Sodium channel inhibitor
NCGC00168459-04,PDE4A,NCGC00168459-01,HQUIEUONYYTHEW,Phosphodiesterase IIII (PDE4) inhibitor
NCGC00346606-01,,Cyclovirobuxin D (Bebuxine),GMNAPBAUIVITMI,acute myocardial ischemia drug
NCGC00018172-08,CA7,INDAPAMIDE,PESCKZFEUDWKKH,Carbonic Anhydrase Type VII Inhibitor
