Sample ID,Structure,Sample Name,Drug Name,NCGC Unique ID,Primary Mechanism of Action,Gene Symbol
NCGC00345802-01,ONC(=O)CCCCCCNC(=O)C1=CN=C(N=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,ACY-1215,,QGZYDVAGYRLSKP,Histone Deacetylase (HDAC) 6 Inhibitor,HDAC6
NCGC00163540-03,COC1=CC=C(C=C1O)C/2=C/C(=O)C3=C(O2)C=C(O)C=C3O,DIOSMETIN,,MBNGWHIJMBWFHU,Lipid Lowering Agents,
NCGC00344509-01,CC1=CC=C(C(=C1)C)C(C)(O)C2=NC3=CC=CC=C3S2,AC-265347,,IGSZVEPQZANNAB,Calcium-Sensing Receptor (CaSR) Agonists,CASR
NCGC00346729-01,[O-]C(=O)[C@H](CC(=O)N1C[C@@H]2CCCC[C@@H]2C1)CC3=CC=CC=C3,Mitiglinide calcium,,WPGGHFDDFPHPOB,Insulin Secretagogues,
NCGC00095133-04,CC(=O)OCC(CC[N]1C=NC2=CN=C(N)N=C12)COC(C)=O,FAMCICLOVIR,,GGXKWVWZWMLJEH,antiviral,
NCGC00346674-01,CC(C)C1=C(O)C=C(O)C(=C1)C(=O)N2CC3=C(C2)C=C(CN4CCN(C)CC4)C=C3,AT13387,,IFRGXKKQHBVPCQ,Heat Shock Protein 90 (hsp90) Inhibitor,HSP90AB1
NCGC00091544-08,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(=C4)O)[C@@H]1CC[C@@H]2O,beta-Estradiol,"ESTRADIOL ENANTHATE H-3;Estradiol Receptor alpha;E2-BSA;ESTROGENS;estradiol sulfate;tetraPhPor estradiol;ESTRADIOL 3-PHOSPHATE DISODIUM;ETHINYL ESTRADIOL .BETA.-CYCLODEXTRIN CLATHRATE;Polyestradioli phosphas;NCGC00015422-01;CIPLUS_158146;(17b)-Estra-1,3,5(10)-triene-3,17-diol;ESTRADIOL MUSTARD;17beta-Estradiol;1,3,5(10)-Estratriene-3,17alpha-diol;ESTRADIOL HEMIHYDRATE;phosphate de polyestradiol;ESTRADIOL C-14;Estradiol Cypionate;NCGC00015422-02;estradiol phosphate polymer;polyestradiol phosphate;Estrogen Analogs;estradiolum;Receptor, Estradio;11-(((4-(5,10,15-triphenylporphyrin-20-yl)phenyl)carbonylamino)butanoyloxy)estradiol;Fosfato de poliestradiol;CENESTIN;ethinyl estradiol glucuronide;17alpha estradiol;estradiol 7 alpha-decamethylene-poly(alanyllysine)-sepharose;ESTROGENS, CONJUGATED SYNTHETIC B;ESTROGENS, CONJUGATED SYNTHETIC A;ESTRA-1,3,5(10)-TRIENE-3,17.BETA.-DIOL;Estra-1,3,5(10)-triene-3,17-diol (17beta)-;CIPLUS_148846;E2-BSA-FITC;estradiol 6-O-carboxymethyloxime-bovine serum albumin-fluorescein isothiocyanate;Analogs, Estroge;E2-6CMO-BSA-FITC;EADPALA;(17.BETA.)-ESTRA-1,3,5(10)-TRIENE-3,17-DIOL;estradiol lipoidal derivative;17-beta-Estradiol;Estradiol Acetate;SYNTHETIC CONJUGATED ESTROGENS, A;b-Estradiol;NCGC00161666-02;SYNTHETIC CONJUGATED ESTROGENS, B;estradiol 7 alpha-decamethylene-poly(alanyl-lysine)agarose;17A-ESTRADIOL;Estrogen Analogues;NCGC00094671-01;NCGC00094671-02;LS-137;ERTK;(17.BETA.)-ESTRA-1,3,5(10)-TRIENE-3,17-DIOL HEMIHYDRATE;E2-HC-BSA-FITC;estradiol 7 alpha-decamethylene agarose;3,17alpha-Dihydroxy-1,3,5(10)-estratriene;Antagonists, Estradio;ethinyl estradiol sulfonate;1,3,5-Estratriene-3,17beta-diol;ERalpha;CIPLUS_148536;estradiol ruthenocenecarboxylate;alfatradiolum;tetraphenylporphyrin-C11-estradiol conjugate;alpha-Estradiol;estradiol 7 alpha-trimethylene-poly(alanyllysine)-sepharose;estradiol?cypionate;Estrace;ESTRADIOL H-2;Estradiol Antagonists;17-alpha-estradiol 17-N-acetylglucosaminide;Receptor alpha, Estrogen;BETA-ESTRADIOL;17beta-Estradiol-16,16,17-d3;Estra-1,3,5(10)-triene-3,17-diol (17beta)-, homopolymer;Receptor alpha, Estradio;Estradiol-17 beta:NAD(P)+ 17-oxidoreductase;SR-90067V;Pharmacia brand of polyestradiol phosphate;POLYESTRADIOL PHOSPHATE;Estrogen Receptor alpha;Estradiol-17 beta;Estrogen Receptor 1;estradiol nitrate;CIPLUS_210703;CIPLUS_210705;Estradiol hemihydrate;11beta-bromoacetamidopentoxyphenylE2 estradiol;Dihydrofolliculin;polyestradiol;estradiol-bovine serum albumin;ESTRA-1,3,5(10)-TRIENE-3,17-DIOL (17.BETA.)-;CIPLUS_153888;estradiol;ETHINYL ESTRADIOL H-3;CIPLUS_209199;ESTRA-1,3,5(10)-TRIENE-3,17.BETA.-DIOL HEMIHYDRATE;ETHINYL ESTRADIOL BETADEX;norelgestromin-ethinyl estradiol combination patch;LE(2);Analogues, Estroge;ESTROGENS, CONJUGATED;Estradiolum;17ALPHA-ESTRADIOL;?-Estradiol;3,17beta-Dihydroxy-1,3,5(10)-estratriene;Estradiol Congeners;alpha, Estradiol Recepto;E(2)-3D(6) cpd;estradiol 12-bovine serum albumin;Estradiol Receptor;Phosphate de polyestradiol;ethynyl estradiol glucuronide;AB08007607-01;ESTRADIOL GLUCONATE;estradiol receptor tyrosine kinase;ESTRADIOL;11beta-bromoacetamidoethoxyphenylE2 estradiol;1,3,5(10)-Estratriene-2,4-d2-3,17beta-diol;estradiol 17-hemisuccinate-bovine serum albumin-fluorescein isothiocyanate;HS_562;HS_561;CIPLUS_731672;NCGC_Prestw-441;ENJUVIA;estradiol valerate-dienogest;Estradiol;Estradurine;Estrogen Receptors alpha;ESTRADIOL-17-HEPTANOATE H-3;Estradiol Dehydrogenases;Estra-1,3,5(10)-triene-3,17 diol (17-beta)-, polymer with phosporic acid;EADMA;estradiol (E(2))-Asp-hexapeptide conjugate;Estradiol 17 Propionate;Epiestradiol;beta-Estradiol hemihydrate;ESTRAPEL;NCGC00016218-01;3,17-beta-dihydroxyestra-1,3,5(10)-triene;Estrodiolum;NCGC00091544-09;estradiol 17-acetylglucosaminide;Evra;Wyeth brand of polyestradiol phosphate;medroxyprogesterone?acetate?+?estradiol?cypionate;beta-Estradiol-d2;Ortho Evra;NCGC00091544-02;17B-ESTRAIOL;LS-64736;NCGC00091544-07;Polyestradiol phosphate;NCGC00091544-08;NCGC00091544-05;NCGC00091544-06;ETHINYL ESTRADIOL ",VOXZDWNPVJITMN,Estrogen Receptor (ER) Agonist,ESR1
NCGC00346610-01,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,Pantothenic acid (pantothenate),,GHOKWGTUZJEAQD,Vitamin,
NCGC00023509-14,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)\C=C2\C=C/[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,LOVASTATIN,,PCZOHLXUXFIOCF,HMG-CoA Reductase Inhibitor,HMGCR
NCGC00016014-08,OC1=C(O)C=C(C=C1)\C=C(/C#N)C(=O)NCC2=CC=CC=C2,,"Tyrphostin-AG-490;NCGC00024576-04;NCGC00024576-05;NCGC00024576-02;2-Cyano-3-(3,4-dihydroxyphenyl)-N-(phenylmethyl)-2-propenamide;NCGC00024576-03;tyrphostin B42;NCGC00024576-01;AG-490;tyrphostin AG-490;Tyrphostin AG 490;2-Cyano-3-(3,4-dihydroxyphenyl)-N-(benzyl)-2-propenamide;AG 490;alpha-cyano-(3,4-dihydroxy)-N-benzylcinnamide;NCGC00016014-01;AG490;2-propenamide;Tyrphostin B42;",TUCIOBMMDDOEMM,Jak2/3 Inhibitor,JAK2
NCGC00346487-01,C[N]1C=C(CNCC2CCN(CC2)C3=NC=C(C=N3)C(=O)NO)C4=CC=CC=C14,JNJ-26481585,,PAWIYAYFNXQGAP,HDAC1 Inhibitor,HDAC1
NCGC00346556-01,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCC2=C1C=CC=C2,Semagacestat (LY450139),,PKXWXXPNHIWQHW,g-Secretase Inhibitor,NOTCH1
NCGC00346955-01,COC1=CC(=CC=C1NC(=O)C2=CC3=C(C=CC=C3)[N]2C)C4=N[N](C5CCC(CC5)N6CCN(CC6)C(C)=O)C7=NC=NC(=C47)N,A-770041,,ZMNWFTYYYCSSTF,Lck Kinase Inhibitors,LCK
NCGC00346830-01,NC\1=N\C(=O)N(\C=C1F)[C@H]2C[C@H](O)[C@@H](CO)O2,NSC-48006,,IDYKCXHJJGMAEV,DNA Methyltransferase (DNMT) Inhibitor,DNMT1
NCGC00346694-01,CCN1C[C@H](C)[N]2C(=C(O)C3=C2\C(=N/N(CC4=CC=C(F)C(=C4)Cl)C3=O)C(=O)NC)C1=O,MK-2048,,JSRREMIKIHJGAA,HIV Integrase Inhibitors,
NCGC00161414-02,CN1[C@H]2CC[C@@H]1CC(C2)OC(=O)C3=C[NH]C4=CC=CC=C34,,TROPISETRON,ZNRGQMMCGHDTEI,5-HT3 Antagonists,HTR3A
NCGC00015724-14,OC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)N=CC=C1,,NIFLUMIC ACID,JZFPYUNJRRFVQU,Cyclooxygenase-2 Inhibitor,PTGS2
NCGC00162249-04,CC(C)C1=CC=C2[N](CC3=CC=C(Cl)C=C3)C(=C(SC(C)(C)C)C2=C1)CC(C)(C)C([O-])=O,,,QAOAOVKBIIKRNL,5-lipoxygenase-activating (FLAP) inhibitor,ALOX5AP
NCGC00169145-02,OC[C@H]1O[C@@H](OCCC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,Salidroside(Rhodioloside),,ILRCGYURZSFMEG,beta-Amyloid (Abeta) Protein Neurotoxicity Inhibitors,APP
NCGC00015026-14,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,ATROPINE SULFATE,,RKUNBYITZUJHSG,M1 Muscarinic acetylcholine receptor Antagonists,CHRM1
NCGC00167441-03,CCCN[C@H]1CCC2=C(C1)SC(=N2)N,Pramipexole (Mirapex),,FASDKYOPVNHBLU,Dopamine D3 Antagonist,DRD3
NCGC00037850-05,CC1=CC(=C(C)[N]1C2=CC=CC=C2)C3=NN=C4CCCCC[N]34,,,SGHSEHOWYLRAPR,HPGD Inhibitor,HPGD
NCGC00159456-06,CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C)C(=C3)NC4=NC=CC(=N4)C5=CC=CN=C5,Imatinib;GGP-57148B;Gleevec;STI-571,STI571;Imatinib mesilate;IMATINIB;CIPLUS_700313;Imatinib Mesilate;4-(4-(4-METHYL-1-PIPERAZINYL)METHYL)-N-(4-METHYL-3-((4-(3-PYRIDINYL)-2-PYRIMIDINYL)AMINO)-PHENYL)BENZAMIDE MESYLATE;CIPLUS_670910;Imatinib mesylate;HS_649;imatinib;CPG-57148B;Glivec;Imatinib base;Genpharm brand of imatinib mesylate;IMATINIB MESILATE;Gleevec;CGP-57148;CGP 57148;imatinib mesylate;Imatinib;IMATINIB MESYLATE;CGP57148B;STI 571;imatinibum;Imatinib base(IMA-3);Novartis brand of imatinib mesylate;STI-571;,KTUFNOKKBVMGRW,Bcr-Abl Inhibitor,ABL1
NCGC00165902-02,CN1CCN(CC1)C(=O)C2=C(C)[NH]C(=C2C)\C=C3/C(=O)NC4=CC=C(C=C34)[S+]([O-])(=O)N(C)C5=CC(=CC=C5)Cl,SU11274,,PGKXHYVUCJQWPU,HGFR (MET; c-Met) Inhibitor,MET
NCGC00165815-05,CCOC(=O)N1CCN(CC1)[N+](/[O-])=N/OC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O,JS-K,,DNJRNBYZLPKSHV,nitric oxide donors,
NCGC00179341-02,C1=CC=C2C(=C1)C4=C(N2C)CCC(CN3C(C)=NC=C3)C4=O,Ondansetron,"LS-51879;Ondansetron hydrochloride;CIPLUS_3827701;LS-51878;1,2,3,9-TETRAHYDRO-9-METHYL-3-((2-METHYLIMIDAZOL-1-YL)METHYL)CARBAZOLE-4-ONE HYDROCHLORIDE DIHYDRATE, DL-;Ondansetron, (S)-Isomer;LS-171880;ONDANSETRON HCL;LS-172305;CIPLUS_196240;ONDANSETRON HCl;LS-178427;LS-178426;Zofran;NCGC_Prestw-1058;HS_1542;HS_1541;Ondansetron;4H-Carbazol-4-one, 1,2,3,9-tetrahydro-9-methyl-3-((2-methyl-1H-imidazol-1-yl)methyl)-;Ondansetron Monohydrochloride;ONDANSETRON HYDROCHLORIDE DIHYDRATE;CIPLUS_210769;Ondansetron Hcl;9-METHYL-3-((2-METHYL-1H-IMIDAZOL-1-YL)METHYL)-1,2,3,9-TETRAHYDRO-4H-CARBAZOL-4-ONE HYDROCHLORIDE DIHYDRATE;Ondansetron, (+,-)-Isomer;Zofran ODT;ondansetronum;1,2,3,4-Tetrahydro-9-methyl-3-(2-methyl-1H-imidazol-1-ylmethyl)carbazol-4-one;ONDANSETRON HYDROCHLORIDE;Ondansetron, (R)-Isomer;Ondansetron hydrochloride dihydrate;CIPLUS_194568;ONDANSETRON;Ondansetron Hydrochloride Di;NCGC00163170-01;Ondansetron Monohydrochloride Dihydrate;HS_1037;NCGC00016968-01;GR-38032F;4H-CARBAZOL-4-ONE, 1,2,3,9-TETRAHYDRO-9-METHYL-3-((2-METHYL-1H-IMIDAZOL-1-YL)METHYL)-, MONOHYDROCHLORIDE, DIHYDRATE;Methoxamine HCl;ONDANSETERON HYDROCHLORIDE;ondansetrone;Ondansetron HCl;Ondansetron Hydrochloride;",FELGMEQIXOGIFQ,5-HT3 Antagonists,HTR3A
NCGC00263195-01,CN1CCN(CC1)C(C)(C)C#CC2=C(NC(=O)C=C)C=C3C(=NC=NC3=C2)NC4=CC(=C(F)C=C4)Cl,AV-412;MP-412,,ZAJXXUDARPGGOC,EGFR (HER1; erbB1) inhibitor,EGFR
NCGC00095486-03,CC(C)C(C)/C=C/C(C)C1CCC2\C3=C\C=C/4CC(O)CCC4(C)C3CCC12C,ERGOSTEROL,,DNVPQKQSNYMLRS,Sterol (fungal cell wall),
NCGC00163489-04,CC(C)=CC[C@@H](O)C/1=C/C(=O)C2=C(O)C=CC(=C2C1=O)O,Shikonin,,NEZONWMXZKDMKF,Drugs Acting on Chemokine Receptors,CCR5
NCGC00274030-01,CCN1CCN(CC1)C2=CC=C(NC3=CC(=NC=N3)N(C)C(=O)NC4=C(Cl)C(=CC(=C4Cl)OC)OC)C=C2,NVP-BGJ398,,QADPYRIHXKWUSV,FGFR 1/2/3/4 inhibitor,
NCGC00165889-02,CC1=NC(=CC=C1)C2=C(N=C([NH]2)C(C)(C)C)C3=CC4=C(OCO4)C=C3,SB-505124,,WGZOTBUYUFBEPZ,TGF-bR1 (ALK4/5) Inhibitor,
NCGC00346627-01,CN1CCCN(CC1)C2=CC=C3C(=O)\C(=C/4SC5=C(C=CC=C5)N4C3=N2)C(=O)NCC6=CN=C(C)C=N6,CX-5461,,XGPBJCHFROADCK,RNA Polymerase Inhibitor,POLR2A
NCGC00263174-01,CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C/2=N/C3=CC(=CC=C3C(=O)N2CC4=CC=CC=C4)Cl,Ispinesib;CK-0238273/SB-715992,,QJZRFPJCWMNVAV,Kinesin-Like Spindle Protein Inhibitor,KIF11
NCGC00263169-01,CC(C)(C)C1=C(/C=C/2NC(=O)\C(NC2=O)=C\C3=CC=CC=C3)N=C[NH]1,Plinabulin,,UNRCMCRRFYFGFX,Tubulin polymerization inhibitor,TUBB
NCGC00263152-02,CN1CCN(CC1)CC2=CC=C(NC(=O)C3=CC(=C(C)C=C3)C#CC4=CN=C5C=CC=N[N]45)C=C2C(F)(F)F,Ponatinib (AP24534),,PHXJVRSECIGDHY,FGFR Inhibitor,
NCGC00345447-02,C[N]1C=NC(=C2N=CN=C12)N,3-Methyladenine,,FSASIHFSFGAIJM,PI3K Inhibitor,PIK3CA
NCGC00263544-02,C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,Dexrazoxane Hydrochloride,,BMKDZUISNHGIBY,DNA Topoisomerase II Inhibitors,TOP2A
NCGC00068236-08,COC1=C(N2CCNC(C)C2)C(=CC3=C1N(\C=C(C(O)=O)/C3=O)C4CC4)F,GATIFLOXACIN,,XUBOMFCQGDBHNK,DNA Topoisomerase IV Inhibitors,TOP2B
NCGC00263183-01,CN1CCN(CC1)C2=CC=C(NC3=NC=C4C(=O)N(CC=C)N(C5=CC=CC(=N5)C(C)(C)O)C4=N3)C=C2,MK-1775,,BKWJAKQVGHWELA,Wee1 Kinase Inhibitor,WEE1
NCGC00185756-01,[Na+].[Na+].ClCCN(CCCl)C(=O)Oc3cc4CC[C@@H]1[C@H](CC[C@]2(C)[C@H](CC[C@@H]12)OP([O-])([O-])=O)c4cc3,Estramustine phosphate sodium,,ADFOJJHRTBFFOF,DNA Alkylating Agent,
NCGC00263235-01,CC(C)OC1=CC=C(OC2=CC=C(C=C2)C(C)NC(C)=O)C=C1,ACC1 BMS,,VZPUSWFWIJXJDY,Acetyl-CoA carboxylase inhibitor,ACACA
NCGC00346944-01,C[C@@H](N)C1=CC=C(C=C1)C(=O)NC2=C3C=C[NH]C3=NC=C2,Y-39983 dihydrochloride,,JTVBXQAYBIJXRP,ROCK Inhibitor,ROCK1
NCGC00165727-02,O=C1NC2=CC=CC=C2N1C3CCN(CC3)CC4=CC=C(C=C4)C5=C(N=C6C=C7[NH]C=NC7=CC6=N5)C8=CC=CC=C8,AKT inhibitor VIII,,BIWGYFZAEWGBAL,AKT 1/2 Inhibitor,AKT1
NCGC00187481-04,CN1C(=O)N(C2=CC=C(C=C2)C(C)(C)C#N)C3=C4C=C(C=CC4=NC=C13)C5=CC6=C(C=CC=C6)N=C5,BEZ235;NVP-BEZ-235,,JOGKUKXHTYWRGZ,mTOR inhibitor,MTOR
NCGC00346883-01,CC(=O)O\N=C1\C(NC2=CC=CC=C12)=C3/C(=O)NC4=C3C=CC(=C4)Br,BIO-acetoxime,,MENDIXKFTXYTHJ,GSK-3 inhibitor,GSK3B
NCGC00346511-01,COC1=CC(=C(\C=C\[S+]([O-])(=O)CC2=CC=C(OC)C(=C2)NCC(=O)O[Na])C(=C1)OC)OC,ON-01910,,HJYORJBPHBUKBI,Polo-like Kinase-1 (Plk-1) Inhibitor,PLK1
NCGC00177986-04,CCN1\C=C(C(O)=O)/C(=O)C2=C1C=C(N3CCN(C)CC3)C(=C2)F,Pefloxacin mesylate,,FHFYDNQZQSQIAI,Antibacterial,
NCGC00095055-03,CCC(C1CCC(C)C(O1)C(C)C(O)C(C)C(=O)C(CC)C2OC\3(O[C@]4(CC[C@@](C)(O4)C5CC[C@@](O)(CC)C(C)O5)C(O)\C=C3)C(C)CC2C)C([O-])=O,"SALINOMYCIN, SODIUM",,KQXDHUJYNAXLNZ,Anticoccidial/Antibacterial,WNT1
NCGC00167767-03,O=C(N1CCC(CC1)N2CCCC2)C3=CC=C(NC4=NC=CC(=N4)C5=CC6=C(S5)C=CC=C6)C=C3,IKK 16,,BWZJBXAPRCVCKQ,"IKK1, IKK-2, IKK complex inhibitor",IKBKB
NCGC00015225-03,COC1=C(OC)C2=C[N+](=C3C(=C2C=C1)C=CC4=CC5=C(OCO5)C=C34)C,Chelerythrine chloride;MP-0922/NSC-646662,"NCGC00162102-03;NCGC00162102-02;Chelerythrine hydrochloride;NCGC00015225-01;NCGC00162102-04;chelerythrine sulfate;CIPLUS_214574;1,2-Dimethoxy-N-methyl(1,3)benzodioxolo(5,6-c)phenanthridinium chloride;LS-174464;chelerythrine chloride;chelerythrine;CIPLUS_723475;NCGC00162102-01;CHELERYTHRINE;NCGC00093703-01;1,2-dimethoxy-12-methyl(1,3)benzodioxolo(5,6-c)phenanthridinium;LS-52942;Chelerythrine chloride;1,2-Dimethoxy-12-methyl[1,3]benzodioxolo[5,6-c]phenanthridinium chloride;CIPLUS_3884937;chelerythrine hydroxide;LS-175425;LS-175067;",LLEJIEBFSOEYIV,Bcl-xL inhibitor,BCL2L1
NCGC00017363-10,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2,CYCLOHEXIMIDE,,YPHMISFOHDHNIV,Glycogen Synthase Kinase 3 beta (GSK-3beta; tau Protein Kinase I) Inhibitor,GSK3B
NCGC00186528-04,C[N]1C2=C(SC(=C2)[S+](C)[O-])C\3=C1C(=O)N(CC4=CC(=CC=C4)N)\N=C3,NCGC00186528,,ZWKJWVSEDISQIS,PKM2 activator,PKM2
NCGC00015819-11,CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC2=CC=CC=C2,Propafenone,PROPAFENONE,JWHAUXFOSRPERK,anti-arrythmia drug,
NCGC00161641-04,COC/1=C/[C@@H]2[C@@H]3CC4=C(C(=C(OC)C=C4)O)[C@]2(CCN3C)CC1=O,Sinomenine (Cucoline),,INYYVPJSBIVGPH,Antiinflammatory opioid,
NCGC00263016-01,CCCCCN(CCC12CC3CC(CC(C3)C1)C2)C(=O)NCCCC4=CC=NC=C4,DE-096,,AIUJHENHBJHHMY,TRPV4 Antagonist,TRPV4
NCGC00263239-02,COCCNCCC[N]1C2=NC=NC(=C2C(=C1C(=O)CF)C3=CC=C(C)C=C3)N,FMK,,UPTQGXMIZXGVSC,MAPKAP-K1 (RSK; p90Rsk) Inhibitor,RPS6KA1
NCGC00025155-01,,Omacetaxine mepesuccinate,"HOMOHARRINGTONINE HYDROCHLORIDE;HOMOHARRINGTONINE;Homoharringtonine;LS-52751;Ceflatonin;CIPLUS_214595;homoharringtonine;4'-METHYL-2'R-HYDROXY-2'-(4-HYDROXY-4-METHYLPENTYL)-BUTANEDIOATE CHLORIDE, 3R;homoharringtonine, 3H-labeled, (3(R))-isomer;NCGC00025155-01;",HYFHYPWGAURHIV,Alkaloid,
NCGC00163620-02,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]3(C)OC(=O)C[C@H]23,Sclareolide (Norambreinolide),,IMKJGXCIJJXALX,sesquiterpene natural product,
NCGC00015054-06,NC1=C(CCCC3)C3=NC2=C1C=CC=C2,Tacrine,"LS-1191;NCGC00093554-02;9-AMINO-1,2,3,4-TETRAHYDROACRIDINE;TACRINE;Tetrahydroaminacrine hydrochloride hydrate;NCGC00093554-01;Tacrine hydrochloride;TACRINE HYDROCHLORIDE;JB-8211;Tetrahydroaminacrin;9-AMINO-1,2,3,4-TETRAHYDROACRIDINE HYDROCHLORIDE;NCGC00017035-01;9-Acridinamine, 1,2,3,4-tetrahydro-;CIPLUS_158828;tacrine;tacrinum;Cognex;Tacrinum;Tacrine;NCGC_Prestw-329;Tetrahydroaminoacridine Monohydrate;Tacrina;THA hydrochloride;NCGC00024908-01;9-Amino-1,2,3,4-tetrahydroacridine hydrochloride;NCGC00024908-05;NCGC00024908-04;1,2,3,4-TETRAHYDRO-9-ACRIDINAMINE (SEE ALSO 1684-40-8);AB02509363-01;NCGC00015054-01;THA hydrochloride hydrate;LS-926;Tacrine hydrochloride hydrate;9-Amino-1,2,3,4-tetrahydroacridine hydrochloride hydrate;CI-970;CIPLUS_152668;1,2,3,4-TETRAHYDRO-5-AMINOACRIDINE HYDROCHLORIDE;",YLJREFDVOIBQDA,Acetylcholinesterase Inhibitors,ACHE
NCGC00016246-12,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,Chlorhexidine,,GHXZTYHSJHQHIJ,MMP Inhibitor,MMP1
NCGC00015144-04,NC1=NC(=C2N=C[NH]C2=N1)OCC3=CC=CC=C3,O6-benzylguanine,,KRWMERLEINMZFT,O6-Alkylguanine-DNA Alkyltransferase (MGMT) Inhibitors,MGMT
NCGC00181345-01,O=C([C@H]3N[C@H]([C@](OCC)=O)CCC2=CC=CC=C2)N(CC(O)=O)C[C@H](SC3)[C@@]1=CC=CS1.Cl,Temocapril hydrochloride,"LS-150463;CIPLUS_213546;LS-150462;CIPLUS_213547;Temocaprilum;1,4-Thiazepine-4(5H)-acetic acid, 6-((1-(ethoxycarbonyl)-3-phenylpropyl)amino)tetrahydro-5-oxo-2-(2-thienyl)-, monohydrochloride, (2S-(2alpha,6beta(R*)))-;TEMOCAPRIL HYDROCHLORIDE;Acecol;TEMOCAPRIL;CS 622;temocaprilum;Temocapril Hydrochloride;TEMOCAPRIL HYCROCHLORIDE;alpha-((2S,6R)-6-((1S)-1-ethoxycarbonyl-3-phenylpropyl)amino-5-oxo-2-(2-thienyl)perhydro-1,4-thiazepin-4-yl)acetic acid.HCl;CS622;Temocapril;Temocapril hydrochloride;temocapril;A-(6((S)-1-ETHOXYCARBONYL-3-PHENYLPROPYL)AMINO-5-OXO-2-(2-THIENYL)PERHYDRO-1,4-THIAZEPIN-4-YL)ACETIC ACID(2S,6R)HYDROCHLORIDE;temocapril hydrochloride;CS-622;",FIQOFIRCTOWDOW,Angiotensin-I Converting Enzyme Inhibitor,ACE
NCGC00164561-03,CC(=O)N[C@@H]1[C@@H](NC(N)=N)\C=C(/O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,Zanamivir (Relenza),,ARAIBEBZBOPLMB,Neuraminidase (Sialidase) Inhibitors,
NCGC00263155-01,ONC(=O)/C=C/C1=CC(=CC=C1)[S+]([O-])(=O)NC2=CC=CC=C2,Belinostat,,ZYHQUMIRDYCAMN,Histone Deacetylase (HDAC) 1/2 Inhibitor,HDAC1
NCGC00263137-01,CNC(=O)C1=CC=C(C=C1F)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(C=C4)C#N)C(F)(F)F,RD-162;NC-53,,JPQFGMYHKSKKGW,Androgen Receptor Antagonist,AR
NCGC00346894-01,C/C=C/C[C@@H](C)C(=O)[C@@H]1N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@@H](NC1=O)C(C)C)C(C)C,PSC 833,,YJDYDFNKCBANTM,P-Glycoprotein (MDR-1; ABCB1) Inhibitors,
NCGC00095838-03,CN[S+]([O-])(=O)CC1=CC=C2[NH]C=C(CCN(C)C)C2=C1,SUMATRIPTAN,,VUKRFPJOONBESE,5-HT1B Agonist,HTR1B
NCGC00263230-01,COC1=CC=CC=C1C2=CC=CC(=C2)C/3=C(O)/C4=CC(=C(Cl)C=C4NC3=O)C#N,FASN MRK,,PSQCGDAJJBYDRJ,Fatty acid synthase inhibitor,FAS
NCGC00164566-02,O[C@H](C[C@H](O)\C=C\C1=C(C2=CC=C(F)C=C2)C3=C(C=CC=C3)N=C1C4CC4)CC([O-])=O,,"ITAVASTATIN CALCIUM;bis((3R,5S,6E)-7-(2-cyclopropyl-4-(4-fluorophenyl)-3-quinolyl)-3,5-dihydroxy-6-heptenoate), monocalcium salt;CIPLUS_709111;Livalo;NK-104;LS-74595;Pitavastatin;Itavastatin;P-872441;P 872441;PITAVASTATIN CALCIUM;CIPLUS_3816026;pitavastatin;itavastatin;pitavastatinum;nisvastatin;NCGC00164566-02;NK 104;Pitavastatin Calcium;7-(2-CYCLOPROPYL-4-(4-FLUOROPHENYL)-3-QUINOLIN-YL)-3,5-DIHYDROXY-6-HEPTENOIC ACID CALCIUM, E-, 3R,5S,6E;ITAVASTATIN Ca;Pitavastatin calcium;NCGC00164566-01;",VGYFMXBACGZSIL,HMG-CoA Reductase Inhibitor,HMGCR
