,HTR2A,G9
NMDA Antagonist,NCGC00182554-02,NAMPT,C8
NMPRTase Inhibitor,NCGC00182868-02,NAMPT,D10
NMPRTase Inhibitor,NCGC00182868-02,NAMPT,F2
NMPRTase Inhibitor,NCGC00182868-02,NAMPT,G8
NMPRTase Inhibitor,NCGC00182868-02,NAMPT,G9
NMPRTase Inhibitor,NCGC00182868-02,,G8
Tetracycline Antibiotic,NCGC00183044-01,,G9
Tetracycline Antibiotic,NCGC00183044-01,,F2
HIV Protease Inhibitors,NCGC00183130-01,,G8
HIV Protease Inhibitors,NCGC00183130-01,,G9
HIV Protease Inhibitors,NCGC00183130-01,ABL1,F2
Bcr-Abl Kinase Inhibitor,NCGC00183285-04,,C8
Calcium Channel Blocker,NCGC00183837-01,,D10
Calcium Channel Blocker,NCGC00183837-01,,F2
Calcium Channel Blocker,NCGC00183837-01,,G8
Calcium Channel Blocker,NCGC00183837-01,,G9
Calcium Channel Blocker,NCGC00183837-01,ADRB1,F2
beta1-Adrenoceptor Antagonists,NCGC00183875-01,ADRB1,G8
beta1-Adrenoceptor Antagonists,NCGC00183875-01,ADRB1,G9
beta1-Adrenoceptor Antagonists,NCGC00183875-01,EHMT2,F2
Histone-lysine N-methyltransferase EHMT2 Inhibitor,NCGC00185850-02,EHMT2,G8
Histone-lysine N-methyltransferase EHMT2 Inhibitor,NCGC00185850-02,,F2
H+/K+-ATPase Inhibitor,NCGC00186013-01,,G9
H+/K+-ATPase Inhibitor,NCGC00186013-01,,C8
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,,D10
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,,F2
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,,G8
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,,G9
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,IRAK1,F2
IRAK Inhibitor,NCGC00186035-04,,G8
AMPA Antagonist,NCGC00186046-02,,G9
AMPA Antagonist,NCGC00186046-02,NFKB1,C8
NF-kappaB signaling Inhibitor,NCGC00186460-01,NFKB1,D10
NF-kappaB signaling Inhibitor,NCGC00186460-01,NFKB1,F2
NF-kappaB signaling Inhibitor,NCGC00186460-01,NFKB1,G8
NF-kappaB signaling Inhibitor,NCGC00186460-01,NFKB1,G9
NF-kappaB signaling Inhibitor,NCGC00186460-01,MTOR,G8
mTOR inhibitor,NCGC00187481-04,PIK3CA,D10
PI3Kalpha_:_ beta_:_ gamma Inhibitor,NCGC00187906-01,BTK,F2
Btk/Lck/Lyn inhibitor,NCGC00187912-03,BTK,G8
Btk/Lck/Lyn inhibitor,NCGC00187912-03,BTK,G9
Btk/Lck/Lyn inhibitor,NCGC00187912-03,BCL2L1,C8
Bcl-xL inhibitor,NCGC00188344-05,BCL2L1,F2
Bcl-xL inhibitor,NCGC00188344-05,BCL2L1,G8
Bcl-xL inhibitor,NCGC00188344-05,BCL2L1,G9
Bcl-xL inhibitor,NCGC00188344-05,MTOR,C8
mTOR Inhibitor,NCGC00188346-01,MTOR,D10
mTOR Inhibitor,NCGC00188346-01,MTOR,G8
mTOR Inhibitor,NCGC00188346-01,MTOR,G9
mTOR Inhibitor,NCGC00188346-01,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00188380-01,ITK,C8
ITK inhibitor,NCGC00188382-04,ITK,D10
ITK inhibitor,NCGC00188382-04,ITK,F2
ITK inhibitor,NCGC00188382-04,ITK,G8
ITK inhibitor,NCGC00188382-04,ITK,G9
Dopamine D1/D2 Antagonist,NCGC00188689-01,P2RY12,F2
P2Y12 (P2T) Antagonists,NCGC00188690-02,ADRA1A,F2
alpha_:_beta-Adrenoceptor Antagonists,NCGC00188863-01,ADRA1A,G8
alpha_:_beta-Adrenoceptor Antagonists,NCGC00188863-01,ADRA1A,G9
alpha_:_beta-Adrenoceptor Antagonists,NCGC00188863-01,DRD2,F2
Dopamine D2 Antagonist,NCGC00188864-01,DRD2,G8
Dopamine D2 Antagonist,NCGC00188864-01,DRD2,G9
Dopamine D2 Antagonist,NCGC00188864-01,CERS1,F2
multi-kinase,NCGC00188865-02,CERS1,G8
multi-kinase,NCGC00188865-02,CERS1,G9
multi-kinase,NCGC00188865-02,RAC1,F2
Rac1 inhibitor,NCGC00188866-01,RAC1,G9
Rac1 inhibitor,NCGC00188866-01,MAP2K1,C8
MEK inhibitor,NCGC00189074-01,MAP2K1,F2
MEK inhibitor,NCGC00189074-01,MAP2K1,G8
MEK inhibitor,NCGC00189074-01,MAP2K1,C8
MEK inhibitor,NCGC00189075-01,MAP2K1,D10
MEK inhibitor,NCGC00189075-01,MAP2K1,F2
MEK inhibitor,NCGC00189075-01,MAP2K1,G8
MEK inhibitor,NCGC00189075-01,MAP2K1,G9
MEK inhibitor,NCGC00189075-01,EHMT2,F2
Histone-lysine N-methyltransferase EHMT2 Inhibitor,NCGC00189220-05,EHMT2,G9
Histone-lysine N-methyltransferase EHMT2 Inhibitor,NCGC00189220-05,BLM,F2
BLM inhibitor,NCGC00189393-03,BLM,G8
BLM inhibitor,NCGC00189393-03,BLM,G9
BLM inhibitor,NCGC00189393-03,ITK,D10
ITK inhibitor,NCGC00229512-04,ITK,F2
ITK inhibitor,NCGC00229512-04,ITK,G8
ITK inhibitor,NCGC00229512-04,ITK,G9
ITK inhibitor,NCGC00229512-04,PRKCA,F2
PKCa_:_ PKCb_:_ PKCg inhbitor,NCGC00238452-02,PRKCA,G8
PKCa_:_ PKCb_:_ PKCg inhbitor,NCGC00238452-02,PRKCA,G9
PKCa_:_ PKCb_:_ PKCg inhbitor,NCGC00238452-02,ALK,C8
Anaplastic Lymphoma Kinase (ALK) Inhibitor,NCGC00238453-01,ALK,F2
Anaplastic Lymphoma Kinase (ALK) Inhibitor,NCGC00238453-01,JARID2,G8
JMJ inhibitor,NCGC00241036-02,JARID2,G9
JMJ inhibitor,NCGC00241036-02,SRC,G9
cSRC inhibitor,NCGC00241099-01,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00241101-02,PRKCA,C8
PKC/flt3 inhibitor,NCGC00241102-02,PRKCA,D10
PKC/flt3 inhibitor,NCGC00241102-02,PRKCA,F2
PKC/flt3 inhibitor,NCGC00241102-02,PRKCA,G8
PKC/flt3 inhibitor,NCGC00241102-02,PRKCA,G9
PKC/flt3 inhibitor,NCGC00241102-02,KIT,F2
FGFR 3 Inhibitor,NCGC00241103-04,ABL1,G8
Bcr-Abl inhibitor,NCGC00241107-03,MAPK14,G8
p38 MAPK Inhibitor,NCGC00241111-02,IRAK1,F2
IRAK Inhibitor,NCGC00241410-01,IRAK1,G8
IRAK Inhibitor,NCGC00241410-01,IRAK1,G9
IRAK Inhibitor,NCGC00241410-01,ROCK1,D10
ROCK 1_:_ ROCK 2 Inhibitor,NCGC00241982-03,ROCK1,F2
ROCK 1_:_ ROCK 2 Inhibitor,NCGC00241982-03,ROCK1,G8
ROCK 1_:_ ROCK 2 Inhibitor,NCGC00241982-03,ROCK1,G9
ROCK 1_:_ ROCK 2 Inhibitor,NCGC00241982-03,HSP90AB1,C8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,HSP90AB1,D10
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,CHEK1,D10
Chk1/2 Inhibitor,NCGC00242481-02,CHEK1,F2
Chk1/2 Inhibitor,NCGC00242481-02,CHEK1,G8
Chk1/2 Inhibitor,NCGC00242481-02,CHEK1,G9
Chk1/2 Inhibitor,NCGC00242481-02,AURKA,F2
mTORC1/2 inhibitor,NCGC00242484-02,MAPK7,F2
ERK inhibitor,NCGC00242487-01,MAPK7,G9
ERK inhibitor,NCGC00242487-01,SRC,C8
cSRC inhibitor,NCGC00242490-02,SRC,D10
cSRC inhibitor,NCGC00242490-02,SRC,F2
cSRC inhibitor,NCGC00242490-02,SRC,G8
cSRC inhibitor,NCGC00242490-02,SRC,G9
Triple Functional Domain Protein (TRIO) Inhibitor,NCGC00242501-01,,C8
Glucocorticoid Receptor (GR) Agonist,NCGC00242504-01,,F2
Glucocorticoid Receptor (GR) Agonist,NCGC00242504-01,,G8
Glucocorticoid Receptor (GR) Agonist,NCGC00242504-01,,G9
Glucocorticoid Receptor (GR) Agonist,NCGC00242504-01,PSMD1,C8
Proteasome Inhibitor,NCGC00242506-02,PSMD1,D10
Proteasome Inhibitor,NCGC00242506-02,PSMD1,F2
Proteasome Inhibitor,NCGC00242506-02,PSMD1,G8
Proteasome Inhibitor,NCGC00242506-02,PSMD1,G9
Proteasome Inhibitor,NCGC00242506-02,BIRC5,C8
Survivin inhibitor,NCGC00242514-01,BIRC5,D10
Survivin inhibitor,NCGC00242514-01,BIRC5,F2
Survivin inhibitor,NCGC00242514-01,BIRC5,G8
Survivin inhibitor,NCGC00242514-01,BIRC5,G9
Survivin inhibitor,NCGC00242514-01,JAK1,C8
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK1,D10
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK1,F2
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK1,G8
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK1,G9
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK1,C8
Jak1/2 inhibitor,NCGC00244257-01,JAK1,G9
antimalarial agents,NCGC00246187-02,,F2
antiinfluenza drug,NCGC00246387-02,,G8
antiinfluenza drug,NCGC00246387-02,,G9
antiinfluenza drug,NCGC00246387-02,,F2
Perinuclear compartment (PNC) assembly inhibitor,NCGC00247785-05,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00247879-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00247879-01,HSP90AB1,G9
Glycine Transporter 1 (GlyT-1) Inhibitor,NCGC00247954-02,JAK2,C8
Jak2 inhibitor,NCGC00249346-02,JAK2,D10
Jak2 inhibitor,NCGC00249346-02,JAK2,F2
Jak2 inhibitor,NCGC00249346-02,JAK2,G8
Jak2 inhibitor,NCGC00249346-02,JAK2,G9
VEGFR-1/2/3 Inhibitor,NCGC00249390-01,BRAF,C8
Raf kinase B/C inhibitor,NCGC00249391-01,BRAF,F2
Raf kinase B/C inhibitor,NCGC00249391-01,BRAF,G8
Raf kinase B/C inhibitor,NCGC00249391-01,PSMD1,C8
Proteasome Inhibitor,NCGC00249611-03,PSMD1,D10
Proteasome Inhibitor,NCGC00249611-03,PSMD1,F2
Proteasome Inhibitor,NCGC00249611-03,PSMD1,G8
Proteasome Inhibitor,NCGC00249611-03,PSMD1,G9
Proteasome Inhibitor,NCGC00249611-03,PSMD1,C8
Proteasome Inhibitor,NCGC00249612-01,PSMD1,D10
Proteasome Inhibitor,NCGC00249612-01,PSMD1,F2
Proteasome Inhibitor,NCGC00249612-01,PSMD1,G8
Proteasome Inhibitor,NCGC00249612-01,PSMD1,G9
Proteasome Inhibitor,NCGC00249612-01,PSMD1,C8
Proteasome Inhibitor,NCGC00249613-03,PSMD1,D10
Proteasome Inhibitor,NCGC00249613-03,PSMD1,F2
Proteasome Inhibitor,NCGC00249613-03,PSMD1,G8
Proteasome Inhibitor,NCGC00249613-03,PSMD1,G9
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00250085-01,IGFR1,F2
IGF-1R Inhibitors,NCGC00250375-02,IGFR1,G8
IGF-1R Inhibitors,NCGC00250375-02,CAMKK2,C8
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,CAMKK2,D10
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,CAMKK2,F2
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,CAMKK2,G8
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,CAMKK2,G9
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,HTR4,F2
5-HT4 Antagonists,NCGC00250378-01,BRAF,C8
Raf kinase B/C Inhibitor,NCGC00250380-01,BRAF,D10
Raf kinase B/C Inhibitor,NCGC00250380-01,BRAF,F2
Raf kinase B/C Inhibitor,NCGC00250380-01,BRAF,G8
Raf kinase B/C Inhibitor,NCGC00250380-01,BRAF,G9
Raf kinase B/C Inhibitor,NCGC00250380-01,SMO,C8
Smo Receptor Antagonist,NCGC00250382-01,SMO,D10
Smo Receptor Antagonist,NCGC00250382-01,SMO,F2
Smo Receptor Antagonist,NCGC00250382-01,SMO,G8
Smo Receptor Antagonist,NCGC00250382-01,SMO,G9
Smo Receptor Antagonist,NCGC00250382-01,IKBKB,G9
IKK-beta Inhibitor,NCGC00250384-01,IKBKE,C8
IKK-epsilon Inhibitor,NCGC00250386-02,IKBKE,D10
IKK-epsilon Inhibitor,NCGC00250386-02,IKBKE,F2
IKK-epsilon Inhibitor,NCGC00250386-02,IKBKE,G8
IKK-epsilon Inhibitor,NCGC00250386-02,IKBKE,G9
IKK-epsilon Inhibitor,NCGC00250386-02,PRKDC,C8
DNA-Dependent Protein Kinase (DNA-PK) Inhibitor,NCGC00250387-02,PRKDC,D10
DNA-Dependent Protein Kinase (DNA-PK) Inhibitor,NCGC00250387-02,PRKDC,G8
DNA-Dependent Protein Kinase (DNA-PK) Inhibitor,NCGC00250387-02,PRKDC,G9
Phospholipase C inhibitor,NCGC00250389-01,HDAC1,G8
Histone Deacetylase (HDAC) 6 Inhibitor,NCGC00250390-01,PDK2,D10
Pyruvate Dehydrogenase Kinase 2 Inhibitor,NCGC00250391-01,PDK2,F2
Pyruvate Dehydrogenase Kinase 2 Inhibitor,NCGC00250391-01,PDK2,G8
Pyruvate Dehydrogenase Kinase 2 Inhibitor,NCGC00250391-01,PDK2,G9
Pyruvate Dehydrogenase Kinase 2 Inhibitor,NCGC00250391-01,MET,G8
HGFR (MET; c-Met) Inhibitor,NCGC00250400-01,CDK1,C8
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,CDK1,D10
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,CDK1,F2
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,CDK1,G8
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,CDK1,G9
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,COX10,F2
Farnesyltransferase Inhibitor,NCGC00250406-01,COX10,G8
Farnesyltransferase Inhibitor,NCGC00250406-01,BRAF,F2
Raf kinase B/C inhibitor,NCGC00250407-01,BRD4,F2
Bromodomain-Containing Protein 4 (Brd4_:_ HUNK1) Inhibitor,NCGC00250412-01,BRD4,G8
Bromodomain-Containing Protein 4 (Brd4_:_ HUNK1) Inhibitor,NCGC00250412-01,BRD4,G9
Bromodomain-Containing Protein 4 (Brd4_:_ HUNK1) Inhibitor,NCGC00250412-01,PLK1,D10
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00253438-01,PLK1,F2
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00253438-01,BCL2L1,C8
Bcl-xL inhibitor,NCGC00253562-02,BCL2L1,D10
Bcl-xL inhibitor,NCGC00253562-02,BCL2L1,F2
Bcl-xL inhibitor,NCGC00253562-02,BCL2L1,G8
Bcl-xL inhibitor,NCGC00253562-02,BCL2L1,G9
Bcl-xL inhibitor,NCGC00253562-02,SLC6A4,F2
Serotonin Transporter (SERT) Inhibitor,NCGC00253658-02,SLC6A4,G9
Serotonin Transporter (SERT) Inhibitor,NCGC00253658-02,,F2
Antifungal Agent,NCGC00253713-02,,G8
Antifungal Agent,NCGC00253713-02,,G9
Antifungal Agent,NCGC00253713-02,SYK,G8
Syk Kinase inhibitor,NCGC00253909-01,SYK,G9
Syk Kinase inhibitor,NCGC00253909-01,JAK2,C8
Jak2 inhibitor,NCGC00262608-02,JAK2,D10
Jak2 inhibitor,NCGC00262608-02,JAK2,F2
Jak2 inhibitor,NCGC00262608-02,JAK2,G8
Jak2 inhibitor,NCGC00262608-02,JAK2,G9
Isocitrate dehydrogenase inhibitor,NCGC00262689-01,TLR4,F2
TLR4 (LPS) inhibitor,NCGC00263015-01,TLR4,G8
TLR4 (LPS) inhibitor,NCGC00263015-01,TLR4,G9
TLR4 (LPS) inhibitor,NCGC00263015-01,TRPV4,F2
TRPV4 Antagonist,NCGC00263016-01,TRPV4,G8
TRPV4 Antagonist,NCGC00263016-01,TRPV4,G9
TRPV4 Antagonist,NCGC00263016-01,TLR7,F2
TLR 7_:_ 8 and 9 antagonist,NCGC00263017-01,SMO,C8
Smoothened (Smo) receptor agonist,NCGC00263084-02,SMO,F2
Smoothened (Smo) receptor agonist,NCGC00263084-02,SMO,G8
Smoothened (Smo) receptor agonist,NCGC00263084-02,SMO,G9
Wnt signaling modulator,NCGC00263085-01,RPS6KA1,D10
MAPKAP-K1 (RSK; p90Rsk) Inhibitor,NCGC00263086-01,RPS6KA1,F2
MAPKAP-K1 (RSK; p90Rsk) Inhibitor,NCGC00263086-01,RPS6KA1,G8
MAPKAP-K1 (RSK; p90Rsk) Inhibitor,NCGC00263086-01,RPS6KA1,G9
MAPKAP-K1 (RSK; p90Rsk) Inhibitor,NCGC00263086-01,PLK1,D10
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00263087-01,PLK1,F2
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00263087-01,PIK3CA,D10
PI3K/PDK1 Inhibitor,NCGC00263088-01,PIK3CA,F2
PI3K/PDK1 Inhibitor,NCGC00263088-01,PIK3CA,G8
PI3K/PDK1 Inhibitor,NCGC00263088-01,PIK3CA,G9
PI3K/PDK1 Inhibitor,NCGC00263088-01,TTK,F2
monopolar spindle 1 (Mps1)?kinase inhibitor,NCGC00263090-01,IL2,C8
IL-12 Production Inhibitor,NCGC00263093-01,IL2,F2
IL-12 Production Inhibitor,NCGC00263093-01,IL2,G8
IL-12 Production Inhibitor,NCGC00263093-01,IL2,G9
IL-12 Production Inhibitor,NCGC00263093-01,AURKA,F2
Aurora-A/B/C Kinase Inhibitor,NCGC00263094-01,FLT1,D10
VEGFR-1/2/3 inhibitor,NCGC00263097-01,FLT1,G9
VEGFR-1/2/3 inhibitor,NCGC00263097-01,ATM,C8
ATM Kinase Inhibitor,NCGC00263099-01,ATM,F2
ATM Kinase Inhibitor,NCGC00263099-01,ATM,G8
ATM Kinase Inhibitor,NCGC00263099-01,ATM,G9
ATM Kinase Inhibitor,NCGC00263099-01,ERBB2,F2
HER2 (erbB2) Inhibitor,NCGC00263101-01,ERBB2,G8
HER2 (erbB2) Inhibitor,NCGC00263101-01,ERBB2,G9
HER2 (erbB2) Inhibitor,NCGC00263101-01,KDR,D10
VEGFR-2 Inhibitor,NCGC00263104-01,KDR,F2
VEGFR-2 Inhibitor,NCGC00263104-01,KDR,G8
VEGFR-2 Inhibitor,NCGC00263104-01,KDR,G9
VEGFR-2 Inhibitor,NCGC00263104-01,PAR2,G8
PAR2 Antagonist,NCGC00263107-01,PAR2,G9
PAR2 Antagonist,NCGC00263107-01,PAR1,G8
PAR1 Antagonist,NCGC00263108-01,PAR1,G9
PAR1 Antagonist,NCGC00263108-01,MTOR,D10
mTOR inhibitor,NCGC00263109-02,MTOR,G8
mTOR inhibitor,NCGC00263109-02,TACR3,G8
Tachykinin NK3 Antagonist,NCGC00263110-01,TACR3,G9
Tachykinin NK3 Antagonist,NCGC00263110-01,PLK1,D10
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00263112-01,PLK1,F2
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00263112-01,PLK1,G8
Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00263112-01,SLC6A9,G8
Growth Hormone Secretagogue,NCGC00263115-01,PRKCB,F2
PKC beta Inhibitor,NCGC00263119-01,AR,F2
Androgen Receptor Antagonist,NCGC00263120-01,AR,G8
Androgen Receptor Antagonist,NCGC00263120-01,AR,G9
HDM2/HDMX inhibitor,NCGC00263124-01,SIGMAR1,G8
sigma1 Receptor Agonist,NCGC00263126-01,SIGMAR1,G9
cPEPCK inhibitor,NCGC00263130-01,FAAH,F2
Fatty Acid Amide Hydrolase (FAAH) Inhibitor,NCGC00263131-01,FAAH,G9
Fatty Acid Amide Hydrolase (FAAH) Inhibitor,NCGC00263131-01,RPS6KB1,F2
p70 ribosomal S6 kinase (S6K1) inhibitor,NCGC00263134-01,RPS6KB1,G8
p70 ribosomal S6 kinase (S6K1) inhibitor,NCGC00263134-01,RPS6KB1,G9
p70 ribosomal S6 kinase (S6K1) inhibitor,NCGC00263134-01,HDAC1,D10
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263136-03,HDAC1,F2
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263136-03,HDAC1,G8
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263136-03,HDAC1,G9
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263136-03,ADORA1,G8
Adenosine A1 Antagonist,NCGC00263139-01,ADORA1,G9
Adenosine A1 Antagonist,NCGC00263139-01,HSPA2,G9
Heat Shock Protein 70 (hsp70) Inhibitor,NCGC00263143-01,MAPK8,C8
JNK 1/2/3 Inhibitor,NCGC00263146-01,MAPK8,D10
JNK 1/2/3 Inhibitor,NCGC00263146-01,AKT1,C8
Akt1/PKA Inhibitor,NCGC00263147-01,AKT1,F2
Akt1/PKA Inhibitor,NCGC00263147-01,AKT1,G8
Akt1/PKA Inhibitor,NCGC00263147-01,AKT1,G9
Akt1/PKA Inhibitor,NCGC00263147-01,EGFR,C8
EGFR (HER1; erbB1) inhibitor,NCGC00263149-01,EGFR,D10
EGFR (HER1; erbB1) inhibitor,NCGC00263149-01,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00263149-01,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00263149-01,,C8
FGFR Inhibitor,NCGC00263152-02,,D10
FGFR Inhibitor,NCGC00263152-02,,F2
FGFR Inhibitor,NCGC00263152-02,,G8
FGFR Inhibitor,NCGC00263152-02,,G9
FGFR Inhibitor,NCGC00263152-02,HDAC1,C8
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,D10
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,F2
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,G8
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,G9
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,D10
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263155-01,HDAC1,F2
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263155-01,HDAC1,G8
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263155-01,HDAC1,G9
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263155-01,MAPK14,G8
p38 MAPK Inhibitor,NCGC00263165-01,MAPK14,G9
p38 MAPK Inhibitor,NCGC00263165-01,BCL2L1,C8
Bcl-xL inhibitor,NCGC00263166-01,BCL2L1,D10
Bcl-xL inhibitor,NCGC00263166-01,BCL2L1,F2
Bcl-xL inhibitor,NCGC00263166-01,BCL2L1,G8
Bcl-xL inhibitor,NCGC00263166-01,BCL2L1,G9
Bcl-xL inhibitor,NCGC00263166-01,CDK2,D10
CDK2_:_7_:_9 Inhibitor,NCGC00263167-02,CDK2,G9
CDK2_:_7_:_9 Inhibitor,NCGC00263167-02,SMO,F2
Smoothened (Smo) Receptor Antagonist,NCGC00263170-01,SMO,G8
Smoothened (Smo) Receptor Antagonist,NCGC00263170-01,SMO,G9
Smoothened (Smo) Receptor Antagonist,NCGC00263170-01,MDM2,F2
MDM2 (hdm2) Inhibitor,NCGC00263171-01,AURKA,F2
Aurora-A Inhibitor,NCGC00263178-01,AURKA,G8
Aurora-A Inhibitor,NCGC00263178-01,MAP2K1,C8
Mek 1/2 inhibitor,NCGC00263180-01,MAP2K1,D10
Mek 1/2 inhibitor,NCGC00263180-01,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00263180-01,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00263180-01,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00263180-01,WEE1,F2
Wee1 Kinase Inhibitor,NCGC00263183-01,WEE1,G8
Wee1 Kinase Inhibitor,NCGC00263183-01,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00263185-01,PIM1,F2
Pim-1/Flt3 Inhibitor,NCGC00263186-02,PIM1,G8
Pim-1/Flt3 Inhibitor,NCGC00263186-02,PIM1,G9
Pim-1/Flt3 Inhibitor,NCGC00263186-02,CSF1R,F2
CSF1R (c-FMS) Inhibitor,NCGC00263193-01,CSF1R,G8
CSF1R (c-FMS) Inhibitor,NCGC00263193-01,EGFR,C8
EGFR (HER1; erbB1) inhibitor,NCGC00263195-01,EGFR,D10
EGFR (HER1; erbB1) inhibitor,NCGC00263195-01,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00263195-01,TEK,C8
Tie-2 inhibitor,NCGC00263199-02,TEK,G8
Tie-2 inhibitor,NCGC00263199-02,TEK,G9
Tyk 2 inhibitor,NCGC00263200-01,MET,D10
HGFR (MET; c-Met) Inhibitor,NCGC00263201-01,MET,F2
HGFR (MET; c-Met) Inhibitor,NCGC00263201-01,MET,G8
HGFR (MET; c-Met) Inhibitor,NCGC00263201-01,MET,G9
HGFR (MET; c-Met) Inhibitor,NCGC00263201-01,JAK2,F2
Jak2 inhibitor,NCGC00263202-01,LCK,C8
Lck Kinase Inhibitors,NCGC00263206-02,LCK,F2
Lck Kinase Inhibitors,NCGC00263206-02,LCK,G8
Lck Kinase Inhibitors,NCGC00263206-02,LCK,G9
Lck Kinase Inhibitors,NCGC00263206-02,SMO,F2
Smoothened (Smo) Receptor Antagonist,NCGC00263210-01,SMO,G8
Smoothened (Smo) Receptor Antagonist,NCGC00263210-01,SMO,G9
IKK-2 (IKK-beta) Inhibitor,NCGC00263213-01,TRPV4,F2
TRPV4 Antagonist,NCGC00263214-01,TRPV4,G8
TRPV4 Antagonist,NCGC00263214-01,TRPV4,G9
TRPV4 Antagonist,NCGC00263214-01,MTOR,C8
mTORC1 Inhibitor,NCGC00263216-02,MTOR,D10
mTORC1 Inhibitor,NCGC00263216-02,MTOR,F2
mTORC1 Inhibitor,NCGC00263216-02,MTOR,G8
Ceramide kinase inhibitor,NCGC00263217-01,,F2
P-Glycoprotein (MDR-1) Inhibitor,NCGC00263219-01,,G8
P-Glycoprotein (MDR-1) Inhibitor,NCGC00263219-01,HDAC1,C8
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,HDAC1,D10
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,HDAC1,F2
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,HDAC1,G8
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,HDAC1,G9
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,IDO1,C8
Indoleamine 2_:_3-dioxygenase (IDO) inhibitor,NCGC00263222-01,IDO1,F2
Indoleamine 2_:_3-dioxygenase (IDO) inhibitor,NCGC00263222-01,IDO1,G8
Indoleamine 2_:_3-dioxygenase (IDO) inhibitor,NCGC00263222-01,IDO1,G9
Indoleamine 2_:_3-dioxygenase (IDO) inhibitor,NCGC00263222-01,PIK3CA,D10
Fatty acid synthase inhibitor,NCGC00263228-01,FAS,G8
Monoacylglycerol lipase (MAGL) inhibitor,NCGC00263237-01,,C8
